replicate_full	Read_1_file	Read_2_file	read_len	amplicon_size	amplicon_sd	min_overlap	max_mismatch_dens	output_file
C2CD5_23_g3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-g3_S63_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-g3_S63_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_23_g3.extendedFrags.fastq.gz
C2CD5_23_g4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-g4_S64_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/23-g4_S64_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_23_g4.extendedFrags.fastq.gz
CUX1_19_c1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c1_S29_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c1_S29_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_19_c1.extendedFrags.fastq.gz
CUX1_19_c2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c2_S30_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c2_S30_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_19_c2.extendedFrags.fastq.gz
CUX1_19_c3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c3_S31_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c3_S31_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_19_c3.extendedFrags.fastq.gz
CUX1_19_c4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c4_S32_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c4_S32_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_19_c4.extendedFrags.fastq.gz
CUX1_19_c5	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c5_S33_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c5_S33_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_19_c5.extendedFrags.fastq.gz
CUX1_19_c6	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c6_S34_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c6_S34_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_19_c6.extendedFrags.fastq.gz
CUX1_19_c7	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c7_S35_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c7_S35_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_19_c7.extendedFrags.fastq.gz
CUX1_19_c8	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c8_S36_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-c8_S36_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_19_c8.extendedFrags.fastq.gz
CUX1_19_g1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-g1_S25_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-g1_S25_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_19_g1.extendedFrags.fastq.gz
CUX1_19_g2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-g2_S26_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-g2_S26_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_19_g2.extendedFrags.fastq.gz
CUX1_19_g3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-g3_S27_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-g3_S27_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_19_g3.extendedFrags.fastq.gz
CUX1_19_g4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-g4_S28_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/19-g4_S28_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_19_g4.extendedFrags.fastq.gz
DNMT1_22_c1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c1_S53_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c1_S53_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_22_c1.extendedFrags.fastq.gz
DNMT1_22_c2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c2_S54_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c2_S54_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_22_c2.extendedFrags.fastq.gz
DNMT1_22_c3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c3_S55_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c3_S55_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_22_c3.extendedFrags.fastq.gz
DNMT1_22_c4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c4_S56_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c4_S56_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_22_c4.extendedFrags.fastq.gz
DNMT1_22_c5	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c5_S57_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c5_S57_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_22_c5.extendedFrags.fastq.gz
DNMT1_22_c6	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c6_S58_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c6_S58_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_22_c6.extendedFrags.fastq.gz
DNMT1_22_c7	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c7_S59_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c7_S59_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_22_c7.extendedFrags.fastq.gz
DNMT1_22_c8	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c8_S60_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-c8_S60_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_22_c8.extendedFrags.fastq.gz
DNMT1_22_g1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-g1_S49_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-g1_S49_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_22_g1.extendedFrags.fastq.gz
DNMT1_22_g2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-g2_S50_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-g2_S50_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_22_g2.extendedFrags.fastq.gz
DNMT1_22_g3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-g3_S51_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-g3_S51_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_22_g3.extendedFrags.fastq.gz
DNMT1_22_g4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-g4_S52_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/22-g4_S52_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_22_g4.extendedFrags.fastq.gz
EPB41_24_c1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c1_S77_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c1_S77_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_24_c1.extendedFrags.fastq.gz
EPB41_24_c2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c2_S78_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c2_S78_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_24_c2.extendedFrags.fastq.gz
EPB41_24_c3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c3_S79_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c3_S79_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_24_c3.extendedFrags.fastq.gz
EPB41_24_c4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c4_S80_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c4_S80_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_24_c4.extendedFrags.fastq.gz
EPB41_24_c5	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c5_S81_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c5_S81_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_24_c5.extendedFrags.fastq.gz
EPB41_24_c6	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c6_S82_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c6_S82_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_24_c6.extendedFrags.fastq.gz
EPB41_24_c7	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c7_S83_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c7_S83_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_24_c7.extendedFrags.fastq.gz
EPB41_24_c8	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c8_S84_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-c8_S84_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_24_c8.extendedFrags.fastq.gz
EPB41_24_g1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-g1_S73_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-g1_S73_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_24_g1.extendedFrags.fastq.gz
EPB41_24_g2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-g2_S74_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-g2_S74_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_24_g2.extendedFrags.fastq.gz
EPB41_24_g3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-g3_S75_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-g3_S75_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_24_g3.extendedFrags.fastq.gz
EPB41_24_g4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-g4_S76_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/24-g4_S76_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_24_g4.extendedFrags.fastq.gz
FOXP1_18_c1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c1_S17_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c1_S17_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_18_c1.extendedFrags.fastq.gz
FOXP1_18_c2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c2_S18_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c2_S18_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_18_c2.extendedFrags.fastq.gz
FOXP1_18_c3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c3_S19_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c3_S19_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_18_c3.extendedFrags.fastq.gz
FOXP1_18_c4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c4_S20_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c4_S20_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_18_c4.extendedFrags.fastq.gz
FOXP1_18_c5	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c5_S21_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c5_S21_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_18_c5.extendedFrags.fastq.gz
FOXP1_18_c6	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c6_S22_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c6_S22_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_18_c6.extendedFrags.fastq.gz
FOXP1_18_c7	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c7_S23_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c7_S23_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_18_c7.extendedFrags.fastq.gz
FOXP1_18_c8	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c8_S24_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-c8_S24_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_18_c8.extendedFrags.fastq.gz
FOXP1_18_g1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-g1_S13_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-g1_S13_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_18_g1.extendedFrags.fastq.gz
FOXP1_18_g2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-g2_S14_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-g2_S14_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_18_g2.extendedFrags.fastq.gz
FOXP1_18_g3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-g3_S15_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-g3_S15_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_18_g3.extendedFrags.fastq.gz
FOXP1_18_g4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-g4_S16_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/18-g4_S16_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_18_g4.extendedFrags.fastq.gz
FUT8_27_c1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c1_S101_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c1_S101_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_27_c1.extendedFrags.fastq.gz
FUT8_27_c2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c2_S102_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c2_S102_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_27_c2.extendedFrags.fastq.gz
FUT8_27_c3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c3_S103_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c3_S103_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_27_c3.extendedFrags.fastq.gz
FUT8_27_c4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c4_S104_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c4_S104_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_27_c4.extendedFrags.fastq.gz
FUT8_27_c5	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c5_S105_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c5_S105_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_27_c5.extendedFrags.fastq.gz
FUT8_27_c6	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c6_S106_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c6_S106_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_27_c6.extendedFrags.fastq.gz
FUT8_27_c7	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c7_S107_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c7_S107_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_27_c7.extendedFrags.fastq.gz
FUT8_27_c8	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c8_S108_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-c8_S108_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_27_c8.extendedFrags.fastq.gz
FUT8_27_g1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-g1_S97_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-g1_S97_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_27_g1.extendedFrags.fastq.gz
FUT8_27_g2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-g2_S98_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-g2_S98_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_27_g2.extendedFrags.fastq.gz
FUT8_27_g3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-g3_S99_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-g3_S99_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_27_g3.extendedFrags.fastq.gz
FUT8_27_g4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-g4_S100_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/27-g4_S100_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_27_g4.extendedFrags.fastq.gz
SAV1_17_c1	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/17-c1_S5_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/17-c1_S5_L001_R2_001.fastq.gz	150	348	20	4	0.15	SAV1_17_c1.extendedFrags.fastq.gz
SAV1_17_c2	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/17-c2_S6_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/17-c2_S6_L001_R2_001.fastq.gz	150	348	20	4	0.15	SAV1_17_c2.extendedFrags.fastq.gz
SAV1_17_c3	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/17-c3_S7_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/17-c3_S7_L001_R2_001.fastq.gz	150	348	20	4	0.15	SAV1_17_c3.extendedFrags.fastq.gz
SAV1_17_c4	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/17-c4_S8_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/17-c4_S8_L001_R2_001.fastq.gz	150	348	20	4	0.15	SAV1_17_c4.extendedFrags.fastq.gz
SAV1_17_c5	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/17-c5_S9_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/17-c5_S9_L001_R2_001.fastq.gz	150	348	20	4	0.15	SAV1_17_c5.extendedFrags.fastq.gz
SAV1_17_c6	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/17-c6_S10_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/GenIE_2_2_seq_walkup_275/17-c6_S10_L001_R2_001.fastq.gz	150	348	20	4	0.15	SAV1_17_c6.extendedFrags.fastq.gz
