replicate_full	Read_1_file	Read_2_file	read_len	amplicon_size	amplicon_sd	min_overlap	max_mismatch_dens	output_file
BID_H7_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G3_S60_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G3_S60_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_H7_G3.extendedFrags.fastq.gz
BID_H7_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G4_S61_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H7-G4_S61_L001_R2_001.fastq.gz	150	193	20	10	0.109	BID_H7_G4.extendedFrags.fastq.gz
BRAP_H4_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G1_S25_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G1_S25_L001_R2_001.fastq.gz	150	162	20	10	0.107	BRAP_H4_G1.extendedFrags.fastq.gz
BRAP_H4_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G2_S26_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G2_S26_L001_R2_001.fastq.gz	150	162	20	10	0.107	BRAP_H4_G2.extendedFrags.fastq.gz
BRAP_H4_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G3_S27_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G3_S27_L001_R2_001.fastq.gz	150	162	20	10	0.107	BRAP_H4_G3.extendedFrags.fastq.gz
BRAP_H4_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G4_S28_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H4-G4_S28_L001_R2_001.fastq.gz	150	162	20	10	0.107	BRAP_H4_G4.extendedFrags.fastq.gz
C2CD5_H8_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C1_S74_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C1_S74_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_H8_C1.extendedFrags.fastq.gz
C2CD5_H8_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C2_S75_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C2_S75_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_H8_C2.extendedFrags.fastq.gz
C2CD5_H8_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C3_S76_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C3_S76_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_H8_C3.extendedFrags.fastq.gz
C2CD5_H8_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C4_S77_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C4_S77_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_H8_C4.extendedFrags.fastq.gz
C2CD5_H8_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C5_S78_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C5_S78_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_H8_C5.extendedFrags.fastq.gz
C2CD5_H8_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C6_S79_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C6_S79_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_H8_C6.extendedFrags.fastq.gz
C2CD5_H8_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C7_S80_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C7_S80_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_H8_C7.extendedFrags.fastq.gz
C2CD5_H8_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C8_S81_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-C8_S81_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_H8_C8.extendedFrags.fastq.gz
C2CD5_H8_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G1_S70_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G1_S70_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_H8_G1.extendedFrags.fastq.gz
C2CD5_H8_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G2_S71_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G2_S71_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_H8_G2.extendedFrags.fastq.gz
C2CD5_H8_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G3_S72_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G3_S72_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_H8_G3.extendedFrags.fastq.gz
C2CD5_H8_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G4_S73_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H8-G4_S73_L001_R2_001.fastq.gz	150	285	20	10	0.15	C2CD5_H8_G4.extendedFrags.fastq.gz
CEP104_H14_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C1_S126_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C1_S126_L001_R2_001.fastq.gz	150	247	20	10	0.119	CEP104_H14_C1.extendedFrags.fastq.gz
CEP104_H14_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C2_S127_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C2_S127_L001_R2_001.fastq.gz	150	247	20	10	0.119	CEP104_H14_C2.extendedFrags.fastq.gz
CEP104_H14_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C3_S128_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C3_S128_L001_R2_001.fastq.gz	150	247	20	10	0.119	CEP104_H14_C3.extendedFrags.fastq.gz
CEP104_H14_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C4_S129_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C4_S129_L001_R2_001.fastq.gz	150	247	20	10	0.119	CEP104_H14_C4.extendedFrags.fastq.gz
CEP104_H14_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C5_S130_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C5_S130_L001_R2_001.fastq.gz	150	247	20	10	0.119	CEP104_H14_C5.extendedFrags.fastq.gz
CEP104_H14_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C6_S131_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C6_S131_L001_R2_001.fastq.gz	150	247	20	10	0.119	CEP104_H14_C6.extendedFrags.fastq.gz
CEP104_H14_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C7_S132_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C7_S132_L001_R2_001.fastq.gz	150	247	20	10	0.119	CEP104_H14_C7.extendedFrags.fastq.gz
CEP104_H14_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C8_S133_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-C8_S133_L001_R2_001.fastq.gz	150	247	20	10	0.119	CEP104_H14_C8.extendedFrags.fastq.gz
CEP104_H14_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-G1_S122_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-G1_S122_L001_R2_001.fastq.gz	150	247	20	10	0.119	CEP104_H14_G1.extendedFrags.fastq.gz
CEP104_H14_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-G2_S123_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-G2_S123_L001_R2_001.fastq.gz	150	247	20	10	0.119	CEP104_H14_G2.extendedFrags.fastq.gz
CEP104_H14_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-G3_S124_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-G3_S124_L001_R2_001.fastq.gz	150	247	20	10	0.119	CEP104_H14_G3.extendedFrags.fastq.gz
CEP104_H14_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-G4_S125_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H14-G4_S125_L001_R2_001.fastq.gz	150	247	20	10	0.119	CEP104_H14_G4.extendedFrags.fastq.gz
CUX1_H2_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C1_S17_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C1_S17_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_H2_C1.extendedFrags.fastq.gz
CUX1_H2_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C2_S18_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C2_S18_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_H2_C2.extendedFrags.fastq.gz
CUX1_H2_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C3_S19_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C3_S19_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_H2_C3.extendedFrags.fastq.gz
CUX1_H2_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C4_S20_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C4_S20_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_H2_C4.extendedFrags.fastq.gz
CUX1_H2_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C5_S21_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C5_S21_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_H2_C5.extendedFrags.fastq.gz
CUX1_H2_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C6_S22_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C6_S22_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_H2_C6.extendedFrags.fastq.gz
CUX1_H2_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C7_S23_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C7_S23_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_H2_C7.extendedFrags.fastq.gz
CUX1_H2_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C8_S24_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-C8_S24_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_H2_C8.extendedFrags.fastq.gz
CUX1_H2_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-G1_S13_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-G1_S13_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_H2_G1.extendedFrags.fastq.gz
CUX1_H2_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-G2_S14_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-G2_S14_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_H2_G2.extendedFrags.fastq.gz
CUX1_H2_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-G3_S15_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-G3_S15_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_H2_G3.extendedFrags.fastq.gz
CUX1_H2_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-G4_S16_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H2-G4_S16_L001_R2_001.fastq.gz	150	233	20	10	0.115	CUX1_H2_G4.extendedFrags.fastq.gz
DNMT1_H6_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C1_S50_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C1_S50_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_H6_C1.extendedFrags.fastq.gz
DNMT1_H6_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C2_S51_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C2_S51_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_H6_C2.extendedFrags.fastq.gz
DNMT1_H6_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C3_S52_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C3_S52_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_H6_C3.extendedFrags.fastq.gz
DNMT1_H6_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C4_S53_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C4_S53_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_H6_C4.extendedFrags.fastq.gz
DNMT1_H6_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C5_S54_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C5_S54_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_H6_C5.extendedFrags.fastq.gz
DNMT1_H6_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C6_S55_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C6_S55_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_H6_C6.extendedFrags.fastq.gz
DNMT1_H6_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C7_S56_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C7_S56_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_H6_C7.extendedFrags.fastq.gz
DNMT1_H6_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C8_S57_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-C8_S57_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_H6_C8.extendedFrags.fastq.gz
DNMT1_H6_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G1_S46_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G1_S46_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_H6_G1.extendedFrags.fastq.gz
DNMT1_H6_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G2_S47_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G2_S47_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_H6_G2.extendedFrags.fastq.gz
DNMT1_H6_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G3_S48_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G3_S48_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_H6_G3.extendedFrags.fastq.gz
DNMT1_H6_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G4_S49_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H6-G4_S49_L001_R2_001.fastq.gz	150	211	20	10	0.111	DNMT1_H6_G4.extendedFrags.fastq.gz
EPB41_H10_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C1_S86_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C1_S86_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_H10_C1.extendedFrags.fastq.gz
EPB41_H10_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C2_S87_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C2_S87_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_H10_C2.extendedFrags.fastq.gz
EPB41_H10_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C3_S88_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C3_S88_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_H10_C3.extendedFrags.fastq.gz
EPB41_H10_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C4_S89_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C4_S89_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_H10_C4.extendedFrags.fastq.gz
EPB41_H10_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C5_S90_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C5_S90_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_H10_C5.extendedFrags.fastq.gz
EPB41_H10_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C6_S91_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C6_S91_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_H10_C6.extendedFrags.fastq.gz
EPB41_H10_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C7_S92_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C7_S92_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_H10_C7.extendedFrags.fastq.gz
EPB41_H10_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C8_S93_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-C8_S93_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_H10_C8.extendedFrags.fastq.gz
EPB41_H10_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G1_S82_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G1_S82_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_H10_G1.extendedFrags.fastq.gz
EPB41_H10_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G2_S83_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G2_S83_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_H10_G2.extendedFrags.fastq.gz
EPB41_H10_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G3_S84_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G3_S84_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_H10_G3.extendedFrags.fastq.gz
EPB41_H10_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G4_S85_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H10-G4_S85_L001_R2_001.fastq.gz	150	235	20	10	0.115	EPB41_H10_G4.extendedFrags.fastq.gz
FOXP1_H1_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C1_S5_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C1_S5_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_H1_C1.extendedFrags.fastq.gz
FOXP1_H1_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C2_S6_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C2_S6_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_H1_C2.extendedFrags.fastq.gz
FOXP1_H1_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C3_S7_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C3_S7_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_H1_C3.extendedFrags.fastq.gz
FOXP1_H1_C4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C4_S8_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C4_S8_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_H1_C4.extendedFrags.fastq.gz
FOXP1_H1_C5	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C5_S9_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C5_S9_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_H1_C5.extendedFrags.fastq.gz
FOXP1_H1_C6	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C6_S10_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C6_S10_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_H1_C6.extendedFrags.fastq.gz
FOXP1_H1_C7	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C7_S11_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C7_S11_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_H1_C7.extendedFrags.fastq.gz
FOXP1_H1_C8	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C8_S12_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-C8_S12_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_H1_C8.extendedFrags.fastq.gz
FOXP1_H1_G1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G1_S1_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G1_S1_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_H1_G1.extendedFrags.fastq.gz
FOXP1_H1_G2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G2_S2_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G2_S2_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_H1_G2.extendedFrags.fastq.gz
FOXP1_H1_G3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G3_S3_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G3_S3_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_H1_G3.extendedFrags.fastq.gz
FOXP1_H1_G4	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G4_S4_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H1-G4_S4_L001_R2_001.fastq.gz	150	222	20	10	0.113	FOXP1_H1_G4.extendedFrags.fastq.gz
FUT8_H9_C1	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C1_S150_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C1_S150_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_H9_C1.extendedFrags.fastq.gz
FUT8_H9_C2	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C2_S151_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C2_S151_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_H9_C2.extendedFrags.fastq.gz
FUT8_H9_C3	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C3_S152_L001_R1_001.fastq.gz	/nfs/team151/WetLab/GenIE/Sequencing/HL60/H9-C3_S152_L001_R2_001.fastq.gz	150	214	20	10	0.112	FUT8_H9_C3.extendedFrags.fastq.gz
